Lines,Description
6018,1207 Transfers
6019,21st Century Facilities Program
6020,2008 Disaster Supplemental (P.L. 110-329)
6021,2010 Disaster Supplemental-Floods (P.L.-111-212)
6022,Addressing Operational Barriers to Promote Continuity of Care for Medicaid a
6023,2019 Norton Sound Red King Crab (AK)
6024,2018 Port Gamble S'Klallam Puget Sound Coho Salmon (WA)
6025,2019 Chehalis and Black River Spring Chinook Salmon (WA)
6026,2018 Disaster Supplemental (P.L. 115-123)
6027,"2020 Alaska Norton Sound, Yukon River, Chignik, Kuskokwim River, & SE Alaska Salmon fisheries & 2021"
6028,2019 Disaster Supplemental (P.L. 116-20)
6029,2019 Tulalip Tribe's Salmon Fisheries
6030,2019 Upper Skagit Tribe's Salmon Fisheries
6031,"Additional Ukraine Supplemental Funds, PL 117-128"
6032,2019 Squaxin Island Tribe's Salmon Fishery
6033,Administrative expenses- Food Processing Supply Chain Loan Guarantees Program
6034,2018 Disaster Supplemental PL 115-123
6035,2019 Yurok Tribe's Salmon Fishery
6036,2020/21/22 AK Crab
6037,2020 Gulf of AK Pacific Cod
6038,2018 AK Upper Cook Inlet Salmon
6039,2019/20 WA Salmon
6040,2020/21 AK Salmon
6041,2021 AK Chignik Salmon
6042,2021/2022 Yurok Salmon
6043,2023 CA Sacramento and Klamath Salmon
6044,2020 MS Hurricane Ida Shrimp and Oyster
6045,Administrative Expenses for Implementation of Title I of the Agriculture Improvement Act of 2018
6046,Administrative Expenses from Discretionary Deal Fees Collected
6047,CDQ Program (Bering Sea and Aleutian Islands)
6048,Accountable Health Communities
6049,Afghanistan
6050,Afghanistan
6051,CLIMATE RESILIENT CITIES PROJECT
6052,Atrocities Prevention
6053,Category B--Spectrum Relocation AWS III
6054,Administrative expenses- Multiple RBCS Programs
6055,Agriculture Risk Coverage
6056,Center of Excellence for Meat and Poultry Processing and Food Safety Research and Innovation
6057,2019 Tulalip Tribe's Salmon Fisheries
6058,2019 Upper Skagit Tribe's Salmon Fisheries
6059,American Samoa
6060,2019 Squaxin Island Tribe's Salmon Fishery
6061,ACO REACH Model
6062,Burma
6063,2019 Yurok Tribe's Salmon Fishery
6064,Anti Money Laundering/Financial Crimes
6065,BIL Detection and Monitoring
6066,BIL Burned Area Recovery
6067,BIL Reverse 911
6068,AMA Organic Certification Cost Share
6069,Bureau for Energy Resources (ENR)
6070,Appropriate Cost-Sharing for Covered Insulin Products Under Medicare Part D (Inflation Reduction Act
6071,Agricultural Competition Challenge
6072,2018 Penaeid Shrimp (SC)
6073,ARPA PL117-2
6074,"Democracy, Human Rights, and Governance (DRG)"
6075,2018 Hurricane Florence (NC)
6076,"Additional Ukraine Supplemental Funds, Global Food Security, PL 117-128"
6077,Additional Ukraine Supplemental Funds PL 117-128
6078,2019 Freshwater Flooding (AL)
6079,2019 Freshwater Flooding (MS)
6080,2018 Penaeid Shrimp (GA)
6081,Atrocities Prevention
6082,Benin
6083,Countering Wildlife Trafficking
6084,ACO Primary Care Flex (ACO PC Flex) Model
6085,Afghanistan - OCO
6086,CMMI - Operational Support
6087,Global Concessional Financing
6088,Bureau for Resilience and Food Security
6089,Border Security Technologies and Trade and Travel Assets and Infrastructure
6090,2019 Freshwater Flooding (LA)
6091,Bureau for Resilience and Food Security
6092,Construction of Barrier System SWB
6093,Facility Construction Improvements
6094,Central Africa Regional
6095,East Africa Transnational Organized Crime - OCO
6096,Honduras
6097,"2019 Atlantic Herring Fishery (ME, MA, NH, RI)"
6098,2019-2020 Peconic Bay Scallop (NY)
6099,All Programs
6100,"Budgetary Resources: Unappor bal, Federal Fund"
6101,"Budgetary Resources: Unappor bal, revolving fnd"
6102,3rd Quarter Sec. 542 User Fee Shortfall
6103,4th Quarter Sec. 542 User Fee Shortfall
6104,3rd Quarter Sec. 543 SWB
6105,4th Quarter Sec. 543 SWB
6106,1st quarter - AQI
6107,Section 40001 - Investing in Coastal Communities & Climate Resilience (North Atlantic Right Whale)
6108,3rd quarter - AQI
6109,Cancelled Acct Audit Findings
6110,Lump Sum
6111,1st Quarter - AmeriCorps State & National
6112,"1st quarter, Consolidated Administrative Budget"
6113,1st Quarter - ARP Salaries and Expenses
6114,2nd Quarter - ARP Salaries and Expenses
6115,1st quarter - Pretrial Services Agency
6116,2nd quarter - Pretrial Services Agency
6117,3rd quarter - Pretrial Services Agency
6118,4th quarter - Pretrial Services Agency
6119,1st Quarter - Volunteer Generation Fund
6120,2nd Quarter - VHA Medical Support and Compliance
6121,1st Quarter - Volunteer Generation Fund
6122,4th quarter COBRA FTA
6123,1st Quarter - AmeriCorps VISTA
6124,2nd quarter COBRA
6125,3rd quarter COBRA
6126,1st Quarter - VHA Medical Community Care
6127,1st Quarter - AmeriCorps Seniors
6128,2nd Quarter - AmeriCorps Seniors
6129,3rd Quarter - AmeriCorps Seniors
6130,1st Quarter - Office of Information Technology
6131,"1st quarter Civil Penalties, Failure to Depart and Document Fraud, ICE"
6132,"2nd quarter Civil Penalties, Failure to Depart and Document Fraud, ICE"
6133,"3rd quarter Civil Penalties, Failure to Depart and Document Fraud, ICE"
6134,1st Quarter - General Administration
6135,1st quarter AQI
